date,open,high,low,close,volume,openinterest,ma
2022-01-10,5.72,5.85,5.67,5.75,79778.0,0.0,0.0
2022-01-11,5.73,5.84,5.7,5.79,59793.0,0.0,0.0
2022-01-12,5.79,5.86,5.75,5.82,66240.0,0.0,0.0
2022-01-13,5.8,5.87,5.77,5.81,53453.0,0.0,0.0
2022-01-14,5.8,5.86,5.66,5.69,73721.0,0.0,0.0
2022-01-17,5.73,5.91,5.7,5.84,74113.0,0.0,0.0
2022-01-18,5.84,5.88,5.7,5.74,55258.0,0.0,0.0
2022-01-19,5.74,5.78,5.59,5.74,51897.0,0.0,0.0
2022-01-20,5.78,5.78,5.48,5.52,65838.0,0.0,0.0
2022-01-21,5.5,5.59,5.45,5.53,32098.0,0.0,0.0
2022-01-24,5.54,5.56,5.4,5.4,28776.0,0.0,0.0
2022-01-25,5.41,5.42,5.08,5.09,64353.0,0.0,0.0
2022-01-26,5.14,5.29,5.06,5.28,41925.0,0.0,0.0
2022-01-27,5.25,5.33,5.12,5.13,49819.0,0.0,0.0
2022-01-28,5.14,5.32,5.11,5.27,28474.0,0.0,0.0
2022-02-07,5.35,5.38,5.25,5.29,27259.0,0.0,0.0
2022-02-08,5.29,5.45,5.23,5.43,33772.0,0.0,0.0
2022-02-09,5.43,5.6,5.41,5.55,76554.0,0.0,0.0
2022-02-10,5.57,5.62,5.52,5.56,33471.0,0.0,0.0
2022-02-11,5.52,5.62,5.45,5.45,33286.0,0.0,0.0
2022-02-14,5.42,5.47,5.37,5.41,21224.0,0.0,0.0
2022-02-15,5.41,5.48,5.35,5.48,25247.0,0.0,0.0
2022-02-16,5.48,5.56,5.46,5.51,23701.0,0.0,0.0
2022-02-17,5.48,5.56,5.45,5.48,32558.0,0.0,0.0
2022-02-18,5.48,5.57,5.44,5.56,27469.0,0.0,0.0
2022-02-21,5.55,5.62,5.53,5.59,30250.0,0.0,0.0
2022-02-22,5.6,5.6,5.48,5.55,43230.0,0.0,0.0
2022-02-23,5.58,5.67,5.51,5.65,46751.0,0.0,0.0
2022-02-24,5.63,5.65,5.42,5.44,78498.0,0.0,0.0
2022-02-25,5.6,5.98,5.56,5.98,376003.0,0.0,0.0
2022-02-28,5.9,5.9,5.65,5.75,379385.0,0.0,0.0
2022-03-01,5.66,6.16,5.61,5.94,348684.0,0.0,0.0
2022-03-02,5.88,5.97,5.77,5.92,236860.0,0.0,0.0
2022-03-03,5.91,5.91,5.75,5.82,145778.0,0.0,0.0
2022-03-04,5.75,5.84,5.61,5.67,154123.0,0.0,0.0
2022-03-07,5.61,5.69,5.57,5.63,88192.0,0.0,0.0
2022-03-08,5.65,5.68,5.28,5.3,133737.0,0.0,0.0
2022-03-09,5.27,5.35,4.99,5.2,110414.0,0.0,0.0
2022-03-10,5.32,5.39,5.23,5.28,73185.0,0.0,0.0
2022-03-11,5.25,5.35,5.15,5.33,71372.0,0.0,0.0
2022-03-14,5.3,5.37,5.23,5.23,51909.0,0.0,0.0
2022-03-15,5.2,5.28,5.01,5.03,59652.0,0.0,0.0
2022-03-16,5.12,5.2,4.98,5.18,60665.0,0.0,0.0
2022-03-17,5.22,5.28,5.15,5.17,53259.0,0.0,0.0
2022-03-18,5.17,5.27,5.11,5.27,48053.0,0.0,0.0
2022-03-21,5.23,5.32,5.21,5.31,45773.0,0.0,0.0
2022-03-22,5.35,5.44,5.26,5.35,54563.0,0.0,0.0
2022-03-23,5.31,5.4,5.3,5.33,31350.0,0.0,0.0
2022-03-24,5.23,5.32,5.23,5.27,25084.0,0.0,0.0
2022-03-25,5.25,5.33,5.25,5.28,21381.0,0.0,0.0
2022-03-28,5.23,5.37,5.16,5.28,49817.0,0.0,0.0
2022-03-29,5.28,5.3,5.13,5.14,32411.0,0.0,0.0
2022-03-30,5.15,5.2,5.13,5.19,24147.0,0.0,0.0
2022-03-31,5.19,5.23,5.14,5.21,25231.0,0.0,0.0
2022-04-01,5.24,5.24,5.08,5.12,37376.0,0.0,0.0
2022-04-06,5.1,5.23,5.05,5.2,41681.0,0.0,0.0
2022-04-07,5.15,5.21,5.1,5.13,32574.0,0.0,0.0
2022-04-08,5.15,5.19,5.02,5.11,41582.0,0.0,0.0
2022-04-11,5.06,5.11,4.89,4.94,37856.0,0.0,0.0
2022-04-12,4.94,5.08,4.92,5.06,27636.0,0.0,0.0
2022-04-13,5.04,5.08,4.98,5.04,20257.0,0.0,0.0
2022-04-14,5.02,5.1,5.02,5.06,18393.0,0.0,0.0
2022-04-15,5.03,5.06,4.95,4.98,24240.0,0.0,0.0
2022-04-18,4.94,5.03,4.9,5.01,16847.0,0.0,0.0
2022-04-19,5.02,5.06,4.96,5.01,15200.0,0.0,0.0
2022-04-20,4.99,5.13,4.99,5.08,39847.0,0.0,0.0
2022-04-21,5.05,5.14,4.94,5.0,41116.0,0.0,0.0
2022-04-22,4.98,4.98,4.74,4.75,46907.0,0.0,0.0
2022-04-25,4.75,4.75,4.28,4.28,55587.0,0.0,0.0
2022-04-26,4.21,4.33,4.04,4.09,37696.0,0.0,0.0
2022-04-27,4.1,4.23,3.96,4.18,39750.0,0.0,0.0
2022-04-28,4.21,4.21,3.98,4.04,33038.0,0.0,0.0
2022-04-29,4.03,4.26,4.03,4.22,34699.0,0.0,0.0
2022-05-05,4.25,4.37,4.17,4.31,33722.0,0.0,0.0
2022-05-06,4.2,4.29,4.16,4.27,20967.0,0.0,0.0
2022-05-09,4.27,4.35,4.25,4.29,13033.0,0.0,0.0
2022-05-10,4.21,4.35,4.21,4.34,20422.0,0.0,0.0
2022-05-11,4.34,4.44,4.3,4.31,29145.0,0.0,0.0
2022-05-12,4.3,4.42,4.28,4.39,35348.0,0.0,0.0
2022-05-13,4.42,4.53,4.39,4.49,32012.0,0.0,0.0
2022-05-16,4.55,4.55,4.45,4.49,25874.0,0.0,0.0
2022-05-17,4.54,4.54,4.43,4.47,17921.0,0.0,0.0
2022-05-18,4.45,4.58,4.44,4.55,23163.0,0.0,0.0
2022-05-19,4.5,4.66,4.46,4.64,34257.0,0.0,0.0
2022-05-20,4.63,4.72,4.62,4.66,29184.0,0.0,0.0
2022-05-23,4.7,4.8,4.67,4.78,32067.0,0.0,0.0
2022-05-24,4.79,4.81,4.58,4.58,30307.0,0.0,0.0
2022-05-25,4.61,4.7,4.6,4.69,16852.0,0.0,0.0
2022-05-26,4.69,4.72,4.6,4.7,19462.0,0.0,0.0
2022-05-27,4.76,4.78,4.6,4.65,19314.0,0.0,0.0
2022-05-30,4.64,4.69,4.64,4.68,18487.0,0.0,0.0
2022-05-31,4.65,4.73,4.62,4.72,20975.0,0.0,0.0
2022-06-01,4.72,4.8,4.68,4.76,18234.0,0.0,0.0
2022-06-02,4.78,4.81,4.7,4.81,16182.0,0.0,0.0
2022-06-06,4.72,4.9,4.72,4.85,27499.0,0.0,0.0
2022-06-07,4.86,4.95,4.8,4.84,32696.0,0.0,0.0
2022-06-08,4.84,4.87,4.68,4.78,29957.0,0.0,0.0
2022-06-09,4.72,4.78,4.65,4.66,20924.0,0.0,0.0
2022-06-10,4.69,4.74,4.62,4.72,16406.0,0.0,0.0
2022-06-13,4.73,4.86,4.65,4.82,43705.0,0.0,0.0
2022-06-14,4.81,5.25,4.73,5.03,121406.0,0.0,0.0
2022-06-15,5.16,5.32,5.01,5.03,124007.0,0.0,0.0
2022-06-16,4.99,5.14,4.97,5.05,75885.0,0.0,0.0
2022-06-17,5.02,5.56,5.02,5.56,110123.0,0.0,0.0
2022-06-20,5.73,5.96,5.56,5.67,457277.0,0.0,0.0
2022-06-21,5.5,5.59,5.33,5.43,255393.0,0.0,0.0
2022-06-22,5.44,5.56,5.27,5.33,158491.0,0.0,0.0
2022-06-23,5.31,5.48,5.31,5.41,143151.0,0.0,0.0
2022-06-24,5.34,5.95,5.3,5.95,143613.0,0.0,0.0
2022-06-27,6.1,6.55,6.05,6.09,712606.0,0.0,0.0
2022-06-28,6.0,6.07,5.78,5.84,432443.0,0.0,0.0
2022-06-29,5.84,6.24,5.76,5.94,440040.0,0.0,0.0
2022-06-30,5.94,6.04,5.65,5.73,281953.0,0.0,0.0
2022-07-01,5.63,5.68,5.44,5.52,198203.0,0.0,0.0
2022-07-04,5.54,5.59,5.45,5.49,109265.0,0.0,0.0
2022-07-05,5.47,6.04,5.46,5.69,287794.0,0.0,0.0
2022-07-06,5.72,5.72,5.34,5.46,203013.0,0.0,0.0
2022-07-07,5.43,6.01,5.38,6.01,342682.0,0.0,0.0
2022-07-08,6.1,6.42,5.88,5.93,476277.0,0.0,0.0
2022-07-11,5.87,6.07,5.77,6.0,289859.0,0.0,0.0
2022-07-12,5.86,6.0,5.77,5.88,178076.0,0.0,0.0
2022-07-13,5.9,5.95,5.73,5.92,180963.0,0.0,0.0
2022-07-14,5.89,5.89,5.64,5.68,173427.0,0.0,0.0
2022-07-15,5.61,6.25,5.58,5.93,365180.0,0.0,0.0
2022-07-18,5.66,6.19,5.66,6.15,305612.0,0.0,0.0
2022-07-19,6.13,6.14,5.93,6.1,186183.0,0.0,0.0
2022-07-20,6.1,6.24,5.98,6.2,188826.0,0.0,0.0
2022-07-21,6.23,6.75,6.12,6.12,262277.0,0.0,0.0
2022-07-22,6.18,6.28,5.97,5.98,179873.0,0.0,0.0
2022-07-25,5.97,6.13,5.86,5.98,121430.0,0.0,0.0
2022-07-26,6.01,6.01,5.8,5.94,96491.0,0.0,0.0
2022-07-27,5.88,6.18,5.87,6.07,119747.0,0.0,0.0
2022-07-28,6.07,6.3,6.05,6.16,162520.0,0.0,0.0
2022-07-29,6.26,6.26,5.99,6.02,121961.0,0.0,0.0
2022-08-01,6.0,6.38,5.98,6.33,214291.0,0.0,0.0
2022-08-02,6.2,6.22,5.81,5.93,196235.0,0.0,0.0
2022-08-03,5.9,6.52,5.9,6.31,581878.0,0.0,0.0
2022-08-04,6.33,6.94,6.32,6.94,641291.0,0.0,0.0
2022-08-05,7.06,7.1,6.41,6.54,617190.0,0.0,0.0
2022-08-08,6.56,6.67,6.31,6.65,315608.0,0.0,0.0
2022-08-09,6.65,6.65,6.46,6.52,243939.0,0.0,0.0
2022-08-10,6.49,6.88,6.43,6.8,329756.0,0.0,0.0
2022-08-11,6.68,7.05,6.59,6.74,352329.0,0.0,0.0
2022-08-12,6.65,7.02,6.61,6.92,289739.0,0.0,0.0
2022-08-15,6.81,7.61,6.76,7.31,400028.0,0.0,0.0
2022-08-16,7.2,7.3,7.09,7.25,263881.0,0.0,0.0
2022-08-17,7.18,7.22,6.92,7.05,245286.0,0.0,0.0
2022-08-18,7.0,7.4,6.9,7.33,248468.0,0.0,0.0
2022-08-19,7.33,7.5,7.06,7.06,185110.0,0.0,0.0
2022-08-22,6.96,7.05,6.75,6.76,172058.0,0.0,0.0
2022-08-23,6.77,7.03,6.77,6.87,127633.0,0.0,0.0
2022-08-24,6.86,6.87,6.38,6.45,166929.0,0.0,0.0
2022-08-25,6.5,6.51,6.13,6.25,125771.0,0.0,0.0
2022-08-26,6.28,6.35,6.1,6.15,87711.0,0.0,0.0
2022-08-29,6.01,6.36,6.0,6.34,95142.0,0.0,0.0
2022-08-30,6.32,6.35,6.15,6.24,67235.0,0.0,0.0
2022-08-31,6.18,6.21,5.83,5.86,111360.0,0.0,0.0
2022-09-01,5.89,6.06,5.89,5.93,62247.0,0.0,0.0
2022-09-02,6.0,6.17,5.9,6.17,91892.0,0.0,0.0
2022-09-05,6.18,6.58,6.16,6.35,170109.0,0.0,0.0
2022-09-06,6.35,6.88,6.3,6.65,204779.0,0.0,0.0
2022-09-07,6.63,6.89,6.6,6.81,193705.0,0.0,0.0
2022-09-08,6.82,6.9,6.7,6.78,130750.0,0.0,0.0
2022-09-09,6.78,6.81,6.54,6.55,100167.0,0.0,0.0
2022-09-13,6.69,6.73,6.37,6.43,81847.0,0.0,0.0
2022-09-14,6.32,6.46,6.21,6.34,62298.0,0.0,0.0
2022-09-15,6.44,6.46,5.87,6.0,139228.0,0.0,0.0
2022-09-16,6.12,6.12,5.85,5.85,95087.0,0.0,0.0
2022-09-19,5.89,5.95,5.69,5.69,69791.0,0.0,0.0
2022-09-20,5.74,5.92,5.7,5.88,50170.0,0.0,0.0
2022-09-21,5.83,6.02,5.71,6.01,67649.0,0.0,0.0
2022-09-22,5.94,6.2,5.91,6.04,60662.0,0.0,0.0
2022-09-23,6.03,6.12,5.78,5.8,72301.0,0.0,0.0
2022-09-26,5.78,5.85,5.66,5.74,73229.0,0.0,0.0
2022-09-27,5.71,6.06,5.71,6.06,71139.0,0.0,0.0
2022-09-28,6.06,6.24,5.9,6.1,113162.0,0.0,0.0
2022-09-29,6.14,6.26,6.0,6.07,64497.0,0.0,0.0
2022-09-30,6.06,6.14,5.87,5.87,56518.0,0.0,0.0
2022-10-10,5.9,5.97,5.5,5.5,89699.0,0.0,0.0
2022-10-11,5.55,6.05,5.46,6.05,192896.0,0.0,0.0
2022-10-12,6.0,6.66,5.99,6.66,291152.0,0.0,0.0
2022-10-13,6.77,7.33,6.69,7.05,447694.0,0.0,0.0
2022-10-14,7.06,7.32,6.79,7.0,449823.0,0.0,0.0
2022-10-17,6.95,7.5,6.91,7.18,333390.0,0.0,0.0
2022-10-18,7.19,7.33,7.11,7.19,165670.0,0.0,0.0
2022-10-19,7.18,7.49,7.12,7.31,231097.0,0.0,0.0
2022-10-27,7.76,7.76,6.58,6.6,421495.0,0.0,0.0
2022-10-28,6.61,6.95,6.51,6.89,304935.0,0.0,0.0
2022-10-31,6.7,6.95,6.54,6.6,214524.0,0.0,0.0
2022-11-01,6.62,7.26,6.55,7.26,148187.0,0.0,0.0
2022-11-02,7.35,7.7,7.17,7.47,422578.0,0.0,0.0
2022-11-03,7.47,8.22,7.38,8.22,472305.0,0.0,0.0
2022-11-04,8.24,8.24,7.77,7.83,524912.0,0.0,0.0
2022-11-07,7.75,7.83,7.46,7.62,349815.0,0.0,0.0
2022-11-08,7.59,7.62,7.3,7.5,280724.0,0.0,0.0
2022-11-09,7.42,7.42,7.17,7.23,267703.0,0.0,0.0
2022-11-10,7.11,7.26,7.08,7.18,177180.0,0.0,0.0
2022-11-11,7.26,7.31,6.79,6.86,291647.0,0.0,0.0
2022-11-14,6.77,7.47,6.17,7.37,408794.0,0.0,0.0
2022-11-15,7.38,7.68,7.34,7.63,316188.0,0.0,0.0
2022-11-16,7.77,8.38,7.61,8.12,432778.0,0.0,0.0
2022-11-17,8.3,8.37,7.31,7.67,622342.0,0.0,0.0
2022-11-18,7.38,8.44,7.21,8.44,429652.0,0.0,0.0
2022-11-21,8.49,8.63,8.03,8.14,542463.0,0.0,0.0
2022-11-22,8.02,8.31,7.91,7.95,271557.0,0.0,0.0
2022-11-23,7.99,8.3,7.95,8.1,238636.0,0.0,0.0
2022-11-24,8.01,8.6,7.95,8.43,348711.0,0.0,0.0
2022-11-25,8.28,8.45,8.06,8.07,223162.0,0.0,0.0
2022-11-28,7.89,8.23,7.78,7.93,250689.0,0.0,0.0
2022-11-29,7.94,7.98,7.77,7.97,170603.0,0.0,0.0
2022-11-30,7.99,7.99,7.67,7.81,144138.0,0.0,0.0
2022-12-01,7.88,8.18,7.83,8.1,166419.0,0.0,0.0
2022-12-02,8.06,8.32,8.02,8.2,205005.0,0.0,0.0
2022-12-05,8.2,8.5,8.16,8.4,223877.0,0.0,0.0
2022-12-06,8.4,9.24,8.35,9.24,548625.0,0.0,0.0
2022-12-07,9.24,9.63,9.06,9.41,462477.0,0.0,0.0
2022-12-08,9.33,10.35,9.33,10.35,626291.0,0.0,0.0
2022-12-09,10.4,10.5,9.32,9.32,603999.0,0.0,0.0
2022-12-12,9.16,9.85,9.16,9.7,314287.0,0.0,0.0
