date,open,high,low,close,volume,openinterest,ma
2022-12-13,9.6,9.7,8.76,8.88,419773.0,0.0,0.0
2022-12-14,9.0,9.19,8.57,8.68,234965.0,0.0,0.0
2022-12-15,8.49,8.81,8.36,8.6,193505.0,0.0,0.0
2022-12-16,8.6,8.61,8.12,8.26,195327.0,0.0,0.0
2022-12-19,8.35,8.39,8.13,8.16,127918.0,0.0,0.0
2022-12-20,8.17,8.22,7.83,7.88,161539.0,0.0,0.0
2022-12-21,7.88,7.91,7.51,7.69,179050.0,0.0,0.0
2022-12-22,7.71,7.75,7.26,7.33,183830.0,0.0,0.0
2022-12-23,7.35,7.52,7.07,7.17,160951.0,0.0,0.0
2022-12-26,7.21,7.5,7.19,7.4,167704.0,0.0,0.0
2022-12-27,7.35,7.4,6.8,7.01,275473.0,0.0,0.0
2022-12-28,6.99,7.01,6.53,6.62,253837.0,0.0,0.0
2022-12-29,6.67,6.67,6.42,6.45,156198.0,0.0,0.0
2022-12-30,6.51,6.65,6.45,6.47,154625.0,0.0,0.0
2023-01-03,6.44,6.78,6.44,6.74,149121.0,0.0,0.0
2023-01-04,6.74,6.93,6.43,6.54,256415.0,0.0,0.0
2023-01-05,6.5,6.56,6.45,6.55,135370.0,0.0,0.0
2023-01-06,6.47,6.7,6.26,6.61,254615.0,0.0,0.0
2023-01-09,6.61,6.94,6.51,6.88,344342.0,0.0,0.0
2023-01-10,6.81,6.93,6.71,6.88,222155.0,0.0,0.0
2023-01-11,6.83,6.85,6.66,6.68,179101.0,0.0,0.0
2023-01-12,6.66,6.86,6.61,6.84,146146.0,0.0,0.0
2023-01-13,6.84,7.5,6.76,7.27,421951.0,0.0,0.0
2023-01-16,7.22,7.38,7.07,7.26,230995.0,0.0,0.0
2023-01-17,7.28,7.4,7.14,7.17,149373.0,0.0,0.0
2023-01-18,7.15,7.29,7.1,7.21,105455.0,0.0,0.0
2023-01-19,7.2,7.27,7.11,7.24,133581.0,0.0,0.0
2023-01-20,7.24,7.47,7.23,7.41,173408.0,0.0,0.0
2023-01-30,7.6,7.83,7.48,7.58,207330.0,0.0,0.0
2023-01-31,7.63,7.88,7.5,7.81,165747.0,0.0,0.0
2023-02-01,7.79,7.79,7.58,7.76,157735.0,0.0,0.0
2023-02-02,7.67,7.72,7.52,7.57,173702.0,0.0,0.0
2023-02-03,7.57,7.61,7.42,7.6,122753.0,0.0,0.0
2023-02-06,7.55,7.63,7.46,7.51,92534.0,0.0,0.0
2023-02-07,7.52,7.84,7.46,7.75,181123.0,0.0,0.0
2023-02-08,7.68,8.05,7.64,8.02,245260.0,0.0,0.0
2023-02-09,7.95,8.2,7.91,8.02,200654.0,0.0,0.0
2023-02-10,8.03,8.05,7.85,7.98,118620.0,0.0,0.0
2023-02-13,7.9,8.03,7.88,8.0,103619.0,0.0,0.0
2023-02-14,8.0,8.32,8.0,8.1,185587.0,0.0,0.0
2023-02-15,8.1,8.31,8.03,8.28,163137.0,0.0,0.0
2023-02-16,8.28,8.48,7.73,7.86,261495.0,0.0,0.0
2023-02-17,7.85,8.03,7.79,7.89,128398.0,0.0,0.0
2023-02-20,7.91,8.15,7.9,8.02,102397.0,0.0,0.0
2023-02-21,8.11,8.11,7.87,7.93,101494.0,0.0,0.0
2023-02-22,7.91,8.0,7.86,7.97,58825.0,0.0,0.0
2023-02-23,7.97,8.2,7.82,7.88,75006.0,0.0,0.0
2023-02-24,7.92,7.94,7.6,7.74,124318.0,0.0,0.0
2023-02-27,7.71,7.78,7.61,7.76,66946.0,0.0,0.0
2023-02-28,7.73,7.96,7.71,7.83,67594.0,0.0,0.0
2023-03-01,7.83,8.08,7.76,8.08,97197.0,0.0,0.0
2023-03-02,8.07,8.15,7.92,7.93,88940.0,0.0,0.0
2023-03-03,7.96,8.13,7.9,8.0,91139.0,0.0,0.0
2023-03-06,8.07,8.2,7.95,8.12,106033.0,0.0,0.0
2023-03-07,8.13,8.14,7.78,7.8,113345.0,0.0,0.0
2023-03-08,7.8,8.12,7.76,8.06,101189.0,0.0,0.0
2023-03-09,8.06,8.09,7.91,7.96,51149.0,0.0,0.0
2023-03-10,7.9,7.96,7.69,7.74,95321.0,0.0,0.0
2023-03-13,7.75,7.79,7.51,7.62,71351.0,0.0,0.0
2023-03-14,7.62,7.62,7.25,7.4,109045.0,0.0,0.0
2023-03-15,7.47,7.72,7.43,7.62,89179.0,0.0,0.0
2023-03-16,7.56,7.6,7.28,7.29,76670.0,0.0,0.0
2023-03-17,7.34,7.51,7.27,7.3,80016.0,0.0,0.0
2023-03-20,7.3,7.44,7.23,7.38,66985.0,0.0,0.0
2023-03-21,7.38,7.54,7.3,7.49,63667.0,0.0,0.0
2023-03-22,7.51,7.53,7.33,7.36,70606.0,0.0,0.0
2023-03-23,7.36,7.36,7.25,7.32,59195.0,0.0,0.0
2023-03-24,7.35,7.36,7.18,7.22,82770.0,0.0,0.0
2023-03-27,7.28,7.3,7.11,7.22,61464.0,0.0,0.0
2023-03-28,7.22,7.22,6.99,7.02,68152.0,0.0,0.0
2023-03-29,6.97,7.06,6.93,6.98,63569.0,0.0,0.0
2023-03-30,7.03,7.1,6.91,7.03,69085.0,0.0,0.0
2023-03-31,7.04,7.52,7.03,7.29,130361.0,0.0,0.0
2023-04-03,7.24,8.02,7.24,7.96,389228.0,0.0,0.0
2023-04-04,7.88,8.08,7.8,7.94,270056.0,0.0,0.0
2023-04-06,7.89,8.12,7.89,8.03,167671.0,0.0,0.0
2023-04-07,8.07,8.07,7.88,7.98,94115.0,0.0,0.0
2023-04-10,8.03,8.1,7.81,7.85,120010.0,0.0,0.0
2023-04-11,7.9,7.91,7.7,7.74,77510.0,0.0,0.0
2023-04-12,7.79,7.92,7.73,7.89,83155.0,0.0,0.0
2023-04-13,7.92,7.92,7.69,7.72,79879.0,0.0,0.0
2023-04-14,7.72,7.85,7.62,7.79,66990.0,0.0,0.0
2023-04-17,7.83,7.83,7.64,7.66,74216.0,0.0,0.0
2023-04-18,7.66,7.67,7.44,7.52,62673.0,0.0,0.0
2023-04-19,7.53,7.63,7.43,7.46,59765.0,0.0,0.0
2023-04-20,7.41,7.65,7.4,7.43,67275.0,0.0,0.0
2023-04-21,7.47,7.47,7.06,7.1,96733.0,0.0,0.0
2023-04-24,7.1,7.24,6.86,7.15,81702.0,0.0,0.0
2023-04-25,7.1,7.21,6.89,6.94,76422.0,0.0,0.0
2023-04-26,6.95,7.36,6.91,7.22,100319.0,0.0,0.0
2023-04-27,7.19,7.25,6.93,6.93,84360.0,0.0,0.0
2023-04-28,7.07,7.49,7.0,7.42,167660.0,0.0,0.0
2023-05-04,7.37,7.53,7.34,7.47,72061.0,0.0,0.0
2023-05-05,7.42,7.47,7.25,7.29,53897.0,0.0,0.0
2023-05-08,7.31,7.38,7.17,7.3,57999.0,0.0,0.0
2023-05-09,7.27,7.3,7.11,7.14,56553.0,0.0,0.0
2023-05-10,7.12,7.27,7.05,7.18,40994.0,0.0,0.0
2023-05-11,7.19,7.4,7.16,7.39,70876.0,0.0,0.0
2023-05-12,7.42,7.45,6.98,7.05,107346.0,0.0,0.0
2023-05-15,7.08,7.34,7.04,7.14,56540.0,0.0,0.0
2023-05-16,7.15,7.19,6.99,7.07,38638.0,0.0,0.0
2023-05-17,7.04,7.13,6.97,7.11,44839.0,0.0,0.0
2023-05-18,7.12,7.65,7.11,7.36,138388.0,0.0,0.0
2023-05-19,7.36,7.48,7.2,7.38,94482.0,0.0,0.0
2023-05-22,7.36,7.55,7.33,7.43,66485.0,0.0,0.0
2023-05-23,7.4,7.5,7.28,7.42,56428.0,0.0,0.0
2023-05-24,7.4,7.48,7.32,7.38,50137.0,0.0,0.0
2023-05-25,7.32,7.5,7.32,7.45,70453.0,0.0,0.0
2023-05-26,7.5,7.58,7.4,7.56,64864.0,0.0,0.0
2023-05-29,7.56,7.61,7.4,7.46,51321.0,0.0,0.0
2023-05-30,7.47,7.52,7.4,7.52,39949.0,0.0,0.0
2023-05-31,7.26,7.26,6.77,6.77,96328.0,0.0,0.0
2023-06-01,6.21,6.88,6.21,6.53,360799.0,0.0,0.0
2023-06-02,6.6,7.03,6.56,6.77,215002.0,0.0,0.0
2023-06-05,6.76,6.94,6.69,6.88,117062.0,0.0,0.0
2023-06-06,6.95,6.97,6.77,6.8,92854.0,0.0,0.0
2023-06-07,6.79,6.83,6.66,6.74,73424.0,0.0,0.0
2023-06-08,6.76,6.78,6.68,6.72,54275.0,0.0,0.0
2023-06-09,6.66,6.8,6.66,6.78,53984.0,0.0,0.0
2023-06-12,6.76,6.87,6.7,6.83,46088.0,0.0,0.0
2023-06-13,6.79,7.02,6.77,6.98,68914.0,0.0,0.0
2023-06-14,7.0,7.03,6.83,6.96,57245.0,0.0,0.0
2023-06-15,6.96,7.2,6.96,7.09,82324.0,0.0,0.0
2023-06-16,7.14,7.14,6.97,7.01,60231.0,0.0,0.0
2023-06-19,7.01,7.17,7.01,7.09,57419.0,0.0,0.0
2023-06-20,7.09,7.15,7.02,7.08,49631.0,0.0,0.0
2023-06-21,7.06,7.08,6.89,6.94,61209.0,0.0,0.0
2023-06-26,6.94,6.94,6.75,6.81,61746.0,0.0,0.0
2023-06-27,6.81,6.98,6.77,6.98,51449.0,0.0,0.0
2023-06-28,6.99,6.99,6.69,6.87,62754.0,0.0,0.0
2023-06-29,6.88,7.07,6.8,7.03,49023.0,0.0,0.0
2023-06-30,7.02,7.17,7.0,7.12,57676.0,0.0,0.0
2023-07-03,7.12,7.2,7.01,7.04,50211.0,0.0,0.0
2023-07-04,7.04,7.17,7.0,7.12,49817.0,0.0,0.0
2023-07-05,7.11,7.18,7.02,7.04,47550.0,0.0,0.0
2023-07-06,7.1,7.2,7.02,7.12,55291.0,0.0,0.0
2023-07-07,7.17,7.17,7.0,7.06,48276.0,0.0,0.0
2023-07-10,7.04,7.07,6.9,6.92,49095.0,0.0,0.0
2023-07-11,6.94,7.06,6.88,7.05,37524.0,0.0,0.0
2023-07-12,7.06,7.06,6.9,6.9,40768.0,0.0,0.0
2023-07-13,6.92,7.05,6.9,7.04,41747.0,0.0,0.0
2023-07-14,7.01,7.05,6.96,6.99,33700.0,0.0,0.0
2023-07-17,6.98,7.04,6.87,7.0,43351.0,0.0,0.0
2023-07-18,7.0,7.06,6.97,6.99,38824.0,0.0,0.0
2023-07-19,7.0,7.03,6.91,6.92,38265.0,0.0,0.0
2023-07-20,6.92,6.95,6.76,6.79,45869.0,0.0,0.0
2023-07-21,6.75,6.83,6.63,6.64,48632.0,0.0,0.0
2023-07-24,6.64,6.78,6.6,6.71,37681.0,0.0,0.0
2023-07-25,6.71,6.95,6.7,6.91,54927.0,0.0,0.0
2023-07-26,6.89,6.92,6.69,6.75,57975.0,0.0,0.0
2023-07-27,6.73,6.78,6.62,6.64,59889.0,0.0,0.0
2023-07-28,6.66,6.66,6.46,6.57,55156.0,0.0,0.0
2023-07-31,6.62,6.68,6.56,6.59,43160.0,0.0,0.0
2023-08-01,6.59,6.63,6.54,6.56,43264.0,0.0,0.0
2023-08-02,6.56,6.64,6.54,6.57,34506.0,0.0,0.0
2023-08-03,6.55,6.55,6.47,6.51,42284.0,0.0,0.0
2023-08-04,6.52,6.57,6.47,6.49,48246.0,0.0,0.0
2023-08-07,6.47,6.52,6.42,6.48,32703.0,0.0,0.0
2023-08-08,6.5,7.04,6.46,6.78,169371.0,0.0,0.0
2023-08-09,6.73,6.74,6.48,6.52,129673.0,0.0,0.0
2023-08-10,6.5,6.62,6.41,6.59,77752.0,0.0,0.0
2023-08-11,6.52,6.56,6.44,6.44,77947.0,0.0,0.0
2023-08-14,6.44,6.5,6.26,6.49,76796.0,0.0,0.0
2023-08-15,6.45,6.46,6.26,6.31,63538.0,0.0,0.0
2023-08-16,6.28,6.35,6.21,6.21,44849.0,0.0,0.0
2023-08-17,6.21,6.47,6.11,6.43,71908.0,0.0,0.0
2023-08-18,6.4,6.45,6.23,6.24,40914.0,0.0,0.0
2023-08-21,6.28,6.35,6.19,6.2,45941.0,0.0,0.0
2023-08-22,6.25,6.33,6.15,6.31,45909.0,0.0,0.0
2023-08-23,6.26,6.38,6.21,6.23,36211.0,0.0,0.0
2023-08-24,6.23,6.34,6.18,6.2,42432.0,0.0,0.0
2023-08-25,6.14,6.17,5.86,5.9,101504.0,0.0,0.0
2023-08-28,6.21,6.21,5.91,5.93,79164.0,0.0,0.0
2023-08-29,5.96,5.99,5.75,5.82,194117.0,0.0,0.0
2023-08-30,5.81,6.06,5.8,5.99,175483.0,0.0,0.0
2023-08-31,6.04,6.07,5.87,5.99,97474.0,0.0,0.0
2023-09-01,5.99,6.09,5.95,6.04,73183.0,0.0,0.0
2023-09-04,6.02,6.38,6.02,6.33,105756.0,0.0,0.0
2023-09-05,6.34,6.75,6.33,6.38,191189.0,0.0,0.0
2023-09-06,6.51,6.68,6.4,6.63,224689.0,0.0,0.0
2023-09-07,6.52,6.57,6.37,6.41,152855.0,0.0,0.0
2023-09-08,6.36,6.62,6.34,6.48,175591.0,0.0,0.0
2023-09-11,6.4,6.45,6.32,6.37,124239.0,0.0,0.0
2023-09-12,6.34,6.52,6.24,6.52,145336.0,0.0,0.0
2023-09-13,6.69,6.69,6.22,6.35,268133.0,0.0,0.0
2023-09-14,6.32,6.4,6.25,6.36,127976.0,0.0,0.0
2023-09-15,6.39,6.39,5.97,5.99,227141.0,0.0,0.0
2023-09-18,6.09,6.27,5.96,6.04,201893.0,0.0,0.0
2023-09-19,5.96,5.99,5.72,5.74,160978.0,0.0,0.0
2023-09-20,5.72,5.75,5.64,5.64,90874.0,0.0,0.0
2023-09-21,5.62,5.78,5.59,5.74,107398.0,0.0,0.0
2023-09-22,5.68,6.05,5.67,6.02,156510.0,0.0,0.0
2023-09-25,5.99,6.08,5.82,5.86,133195.0,0.0,0.0
2023-09-26,5.84,5.88,5.66,5.74,102435.0,0.0,0.0
2023-09-27,5.75,5.76,5.66,5.68,80711.0,0.0,0.0
2023-09-28,5.69,6.25,5.69,6.25,184650.0,0.0,0.0
2023-10-09,6.31,6.55,6.31,6.38,409554.0,0.0,0.0
2023-10-10,6.44,6.45,6.3,6.41,204573.0,0.0,0.0
2023-10-11,6.36,6.5,6.36,6.42,139534.0,0.0,0.0
2023-10-12,6.43,6.67,6.41,6.46,130436.0,0.0,0.0
2023-10-13,6.43,6.67,6.43,6.58,203271.0,0.0,0.0
2023-10-16,6.58,6.71,6.37,6.7,308912.0,0.0,0.0
2023-10-17,6.71,7.29,6.5,6.65,585544.0,0.0,0.0
2023-10-18,6.55,6.59,6.41,6.5,248487.0,0.0,0.0
2023-10-19,6.45,6.92,6.35,6.78,379090.0,0.0,0.0
2023-10-20,6.72,6.75,6.38,6.4,238351.0,0.0,0.0
2023-10-23,6.4,6.69,6.29,6.57,231611.0,0.0,0.0
2023-10-24,6.55,6.79,6.51,6.75,204423.0,0.0,0.0
2023-10-25,6.65,6.77,6.63,6.7,189808.0,0.0,0.0
2023-10-26,6.66,6.9,6.55,6.9,159032.0,0.0,0.0
2023-10-27,6.82,7.59,6.81,7.59,761223.0,0.0,0.0
2023-10-30,7.28,7.43,7.0,7.17,854963.0,0.0,0.0
2023-10-31,6.97,7.06,6.83,7.05,447639.0,0.0,0.0
2023-11-01,6.97,7.03,6.9,7.02,265217.0,0.0,0.0
2023-11-02,6.95,7.04,6.6,6.63,329349.0,0.0,0.0
2023-11-03,6.63,6.73,6.45,6.73,229723.0,0.0,0.0
2023-11-06,6.71,6.8,6.66,6.78,229252.0,0.0,0.0
2023-11-07,6.73,6.88,6.69,6.8,198527.0,0.0,0.0
2023-11-08,6.77,6.84,6.68,6.73,201524.0,0.0,0.0
2023-11-09,6.74,6.81,6.55,6.61,200960.0,0.0,0.0
2023-11-10,6.56,6.74,6.55,6.61,139627.0,0.0,0.0
